produktnavn,kategorinavn,stregkode,Lager,DKKRRP,kostpris
198-95420 | SandyCC Poplin Puff Shirt-23-XS,L/S Shirts,5702094963715,1,599.0,100.8
198-95420 | SandyCC Poplin Puff Shirt-23-S,L/S Shirts,5702094963722,4,599.0,100.8
198-95420 | SandyCC Poplin Puff Shirt-23-M,L/S Shirts,5702094963739,2,599.0,100.8
199-30210 | PatchieCC Quilt Jacket-61-XS,Jacket,5702096413522,1,999.0,193.76
199-30210 | PatchieCC Quilt Jacket-61-M,Jacket,5702096413546,2,999.0,193.76
199-30210 | PatchieCC Quilt Jacket-61-L,Jacket,5702096413553,2,999.0,193.76
199-30229 | LeoCC Denim Shirt-16-M,Jacket,5702096491773,1,1199.0,242.44
199-30229 | LeoCC Denim Shirt-16-L,Jacket,5702096491780,3,1199.0,242.44
199-30268 | PatchCC Denim Box Jacket-552-XS,Jacket,5702096546848,2,1399.0,283.11
199-30268 | PatchCC Denim Box Jacket-552-S,Jacket,5702096546855,2,1399.0,283.11
199-30268 | PatchCC Denim Box Jacket-552-M,Jacket,5702096546862,1,1399.0,283.11
199-30268 | PatchCC Denim Box Jacket-552-L,Jacket,5702096546879,1,1399.0,283.11
199-30356 | YaraCC Boucle Jacket-242-M,Jacket,5702096817764,2,1199.0,210.74
199-30356 | YaraCC Boucle Jacket-242-XL,Jacket,5702096817788,1,1199.0,210.74
199-31106 | IdaCC Pin Jog Pant-140-XS,Pants,5702096406081,1,899.0,187.39
199-31106 | IdaCC Pin Jog Pant-140-S,Pants,5702096406098,1,899.0,187.39
199-31106 | IdaCC Pin Jog Pant-140-XL,Pants,5702096406128,2,899.0,187.39
199-31355 | ZionCC Zebra Wide Pant-1196-XS,Pants,5702096556090,4,799.0,140.57
199-31355 | ZionCC Zebra Wide Pant-1196-S,Pants,5702096556106,3,799.0,140.57
199-31355 | ZionCC Zebra Wide Pant-1196-M,Pants,5702096556113,4,799.0,140.57
199-31355 | ZionCC Zebra Wide Pant-1196-L,Pants,5702096556120,3,799.0,140.57
199-31355 | ZionCC Zebra Wide Pant-1196-XL,Pants,5702096556137,3,799.0,140.57
199-31588 | CamouCC Denim Wide Jeans-77-XS,Pants,5702096765423,1,799.0,157.5
199-31588 | CamouCC Denim Wide Jeans-77-S,Pants,5702096765430,1,799.0,157.5
199-31588 | CamouCC Denim Wide Jeans-77-M,Pants,5702096765447,3,799.0,157.5
199-31588 | CamouCC Denim Wide Jeans-77-L,Pants,5702096765454,1,799.0,157.5
199-31588 | CamouCC Denim Wide Jeans-77-XL,Pants,5702096765461,2,799.0,157.5
199-33085 | DustCC Print Tee-40061-S,T-shirt/Top,5702096406272,6,399.0,75.04
199-33085 | DustCC Print Tee-40061-M,T-shirt/Top,5702096406289,3,399.0,75.04
199-33085 | DustCC Print Tee-40066-S,T-shirt/Top,5702096570379,1,399.0,75.04
199-34177 | TriceCC Balloon Skirt-96-XS,Skirt,5702096615216,3,649.0,123.2
199-34177 | TriceCC Balloon Skirt-96-S,Skirt,5702096615223,3,649.0,123.2
199-34187 | TriceCC Midi Balloon Skirt-96-XS,Skirt,5702096663194,3,799.0,145.6
199-34187 | TriceCC Midi Balloon Skirt-96-S,Skirt,5702096663200,3,799.0,145.6
199-35417 | CottonCC Crisp Wing Blouse-103-XS,L/S Shirts,5702096489213,2,699.0,129.6
199-35417 | CottonCC Crisp Wing Blouse-4000-XS,L/S Shirts,5702096489282,1,699.0,129.6
199-35417 | CottonCC Crisp Wing Blouse-4000-S,L/S Shirts,5702096489299,1,699.0,129.6
199-35417 | CottonCC Crisp Wing Blouse-7555-XS,L/S Shirts,5702096489350,2,699.0,129.6
199-35417 | CottonCC Crisp Wing Blouse-7555-S,L/S Shirts,5702096489367,1,699.0,129.6
199-35466 | CottonCC Crisp Frill Blouse-96-S,L/S Shirts,5702096401321,3,599.0,105.28
199-35466 | CottonCC Crisp Frill Blouse-96-XL,L/S Shirts,5702096401352,4,599.0,105.28
199-35466 | CottonCC Crisp Frill Blouse-4000-M,L/S Shirts,5702096401543,2,599.0,105.28
199-35466 | CottonCC Crisp Frill Blouse-4000-L,L/S Shirts,5702096401550,1,599.0,105.28
199-35466 | CottonCC Crisp Frill Blouse-4000-XL,L/S Shirts,5702096401567,1,599.0,105.28
199-35572 | LeoCC Bow Blouse-140-XS,L/S Shirts,5702096406685,1,899.0,166.06
199-35572 | LeoCC Bow Blouse-140-M,L/S Shirts,5702096406708,2,899.0,166.06
199-35572 | LeoCC Bow Blouse-140-L,L/S Shirts,5702096406715,3,899.0,166.06
199-35572 | LeoCC Bow Blouse-140-XL,L/S Shirts,5702096406722,3,899.0,166.06
199-35572 | LeoCC Bow Blouse-16-XS,L/S Shirts,5702096444199,1,899.0,166.06
199-35572 | LeoCC Bow Blouse-16-S,L/S Shirts,5702096444205,1,899.0,166.06
